nb_chemin,nombre_de_generation,distance,temps_mis_execution
30,1000,11436.972738323175,343311442
30,1000,11273.702836438086,344048360
30,1000,9831.276227069337,375603237
30,1000,10619.431278849508,373416422
30,1000,11417.01038869647,363564542
30,1000,11203.544977275813,373715697
30,1000,10616.30717417013,410490044
30,1000,10856.011896053451,378782887
30,1000,11282.673142973492,374068180
30,1000,11688.590147792213,388885966
30,1000,11296.894340401199,363307843
30,1000,10583.170145573637,390974259
30,1000,11453.441414190796,380553999
30,1000,10569.988168669648,362758529
30,1000,11282.570032559408,376418795
30,1000,11057.417983322342,406030330
30,1000,10873.92337502391,383769349
30,1000,10642.602379336766,385964828
30,1000,10842.487983929608,390865995
30,1000,11071.115674269802,449164844
30,1000,11750.068024189033,391034482
30,1000,11841.857126734452,381857777
30,1000,10223.056922166641,396778941
30,1000,11058.731728584453,428804180
30,1000,10857.637581005909,429397409
30,1000,11183.62950602638,439575195
30,1000,11560.314622599839,422497481
30,1000,11784.61160996346,393626785
30,1000,10550.460227926711,384095455
60,60,12477.649922750797,44764765
60,60,12393.36170356023,45934362
60,60,11140.122087244948,77100443
60,60,11564.961110838698,60579467
60,60,11602.144434939379,51389886
60,60,12174.199240536604,46896792
60,60,12660.168379661196,45021251
60,60,11746.94730722515,44532326
60,60,10956.179269888442,45797922
60,60,11541.91747397539,45166260
60,60,11770.311135661213,43800649
60,60,12757.58477310907,41918530
60,60,12899.480593962386,41375057
60,60,12314.369857391,41301485
60,60,12816.702424114515,41657326
60,60,11917.929709671656,46394880
60,60,12114.56286009992,46768550
60,60,12481.965099977573,48081095
60,60,13044.811572747627,58273325
60,60,12034.518412016121,57688455
60,60,11837.865247994698,85992652
60,60,11494.486219057524,69467895
60,60,12935.375802798573,49983581
60,60,12421.068287681226,52962824
60,60,12368.90312922662,47677257
60,60,12551.603648360428,45005762
60,60,12204.803833842807,46400855
60,60,12391.19142031023,46898196
60,60,11929.983438914986,47695496
60,60,12293.637129793788,47765780
60,60,11503.927493457579,46914317
60,60,12214.02138101171,48420881
60,60,12373.4616446383,48049230
60,60,12017.933702703896,47692036
60,60,12217.591417693991,49815980
60,60,11902.29182720466,55088593
60,60,11507.274696504506,47834675
60,60,12004.60272072871,45966780
60,60,12228.419165125302,43881955
60,60,12091.79662889254,46161531
60,120,11673.655731423725,102366271
60,120,11810.460667769654,108966799
60,120,10875.415345625155,106056583
60,120,11890.757740319319,101438780
60,120,11439.82929450153,96279381
60,120,11396.94204553316,99635667
60,120,10991.069201754495,90697858
60,120,11121.481402103593,94851330
60,120,11885.014275325262,88288640
60,120,10004.831808325349,95977145
60,120,11560.29625227308,102395313
60,120,12257.05761820245,90934223
60,120,11762.99032717524,87962711
60,120,11656.655779086797,87688824
60,120,12332.974004521111,89249272
60,120,11211.216433893118,89717694
60,120,11059.288945783932,88190598
60,120,10817.042760271717,95675720
60,120,11172.334014114891,89356991
60,120,11544.546224233627,90999437
60,120,10956.694616563283,88165431
60,120,11873.69797521345,93625413
60,120,10671.505067882652,93598478
60,120,11709.296637584843,94146208
60,120,11087.85103690396,98733556
60,120,10711.437468642707,95229385
60,120,10694.431322602622,95289045
60,120,11146.297617893304,95742928
60,120,11028.621889863236,104593903
60,120,12713.579009717472,96031711
60,120,11036.21972712141,95239701
60,120,11778.159547343601,96538798
60,120,9890.149029353288,100812831
60,120,11772.64716250235,92374233
60,120,11873.37039872917,89306941
60,120,10806.984572524345,101053266
60,120,12145.149155581834,100919137
60,120,10880.065794039503,96179377
60,120,9624.123259354701,91937114
60,120,11044.355442116073,93523244
60,500,10433.276318324879,358125369
60,500,10073.774247009116,349178293
60,500,10911.152716078497,347275605
60,500,10566.362489082616,346721677
60,500,9950.418482519563,348893325
60,500,10352.521090409791,354004138
60,500,10797.489207358163,358450519
60,500,10716.407431714979,346280170
60,500,11227.095508400422,347675150
60,500,9900.021854427983,355341263
60,500,10766.78711749407,350991118
60,500,10028.993747497216,352698315
60,500,11546.05800302367,357026278
60,500,10218.822756244079,347177265
60,500,10660.814342291176,354741824
60,500,10334.868754887122,349626469
60,500,10919.855378773418,347772571
60,500,10813.557807919475,348023247
60,500,10048.329204351128,355414519
60,500,11364.090385447045,397858808
60,500,11272.305431540803,384166452
60,500,11147.493878968462,372953492
60,500,11009.42193544524,373179871
60,500,11263.042811927146,359572016
60,500,11261.110908456705,354803783
60,500,10802.03465636637,364406865
60,500,11362.384362959794,392768754
60,500,10962.604425002035,381784301
60,500,9974.919512836048,360119639
60,500,10711.591619119137,407133940
60,500,11100.920778793003,393367221
60,500,9202.646010986287,367372931
60,500,11074.786980322047,371608662
60,500,10311.91974851652,366281879
60,500,10149.40639093183,365382676
60,500,10551.5776674633,360388756
60,500,10100.604723081256,362571832
60,500,9687.043150977062,361750468
60,500,11362.857900099882,361646314
60,500,10847.319242656107,369395865
60,1000,10809.587321740102,733205421
60,1000,10588.66303982733,728599060
60,1000,11157.668406240888,729692091
60,1000,10386.095272918677,729648445
60,1000,10644.947838596916,733562473
60,1000,10815.144931006906,736506910
60,1000,10317.73037791566,744342408
60,1000,10386.670253828375,735681685
60,1000,10565.219222086358,739807981
60,1000,10318.095341349568,746417433
60,1000,10974.05062501549,739361313
60,1000,10560.160739695211,734786409
60,1000,10587.422689284509,735934225
60,1000,11087.15271165404,735214677
60,1000,10865.709780490339,737888947
